No, IMUacc_c1, IMUacc_c2, IMUacc_c3, IMUgyro_c1, IMUgyro_c2, IMUgyro_c3, s_time, b_acc_o1, b_acc_o2, b_acc_o3, b_gyro1, b_gyro2, b_gyro3, IMUSel, kf_psi, gyro_psi, cent_pos_est1, cent_pos_est2, cent_pos_est3, cent_vel_est1, cent_vel_est2, cent_vel_est3
104,-0.360351562,0.826171875,-9.995117188,-1.196777344,0.830566406,1.288085938,1701767773.217709780,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.293757923,2.293757923,22.388917632,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
105,-0.182617188,0.875976562,-10.067382812,-1.463623047,1.044189453,1.341308594,1701767773.248217583,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.293757923,2.293757923,22.388917632,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
106,nan,nan,nan,nan,nan,nan,1701767773.251662254,nan,nan,nan,nan,nan,nan,nan,2.293757923,nan,nan,nan,nan,nan,nan,nan
107,nan,nan,nan,nan,nan,nan,1701767773.255375862,nan,nan,nan,nan,nan,nan,nan,2.293757923,nan,nan,nan,nan,nan,nan,nan
108,nan,nan,nan,nan,nan,nan,1701767773.257887602,nan,nan,nan,nan,nan,nan,nan,2.293757923,nan,nan,nan,nan,nan,nan,nan
109,nan,nan,nan,nan,nan,nan,1701767773.262797594,nan,nan,nan,nan,nan,nan,nan,2.293757923,nan,nan,nan,nan,nan,nan,nan
110,-0.341796875,0.918945312,-10.020507812,-1.189208984,0.967773438,1.265136719,1701767773.278586149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.293757923,2.293757923,22.388917632,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
111,-0.338867188,0.831054688,-9.982421875,-1.311035156,0.861083984,1.272705078,1701767773.307280779,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.293757923,2.293757923,22.388917632,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
112,-0.162109375,0.889648438,-10.047851562,-1.372070312,1.028808594,1.310791016,1701767773.339062452,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.294995850,2.294383151,22.388877436,-0.000019948,0.000000000,-0.008039321,-0.003989687,0.000000000
113,nan,nan,nan,nan,nan,nan,1701767773.353633642,nan,nan,nan,nan,nan,nan,nan,2.295638029,nan,nan,nan,nan,nan,nan,nan
114,nan,nan,nan,nan,nan,nan,1701767773.354491234,nan,nan,nan,nan,nan,nan,nan,2.295638029,nan,nan,nan,nan,nan,nan,nan
115,nan,nan,nan,nan,nan,nan,1701767773.357778549,nan,nan,nan,nan,nan,nan,nan,2.295638029,nan,nan,nan,nan,nan,nan,nan
116,nan,nan,nan,nan,nan,nan,1701767773.363358974,nan,nan,nan,nan,nan,nan,nan,2.295638029,nan,nan,nan,nan,nan,nan,nan
117,-0.322265625,0.955078125,-10.025390625,-1.532226562,1.074462891,1.250000000,1701767773.367556334,0.000137919,0.000155125,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.295638029,2.295020243,22.380446550,4.276175601,0.000000000,20.411183787,4.515547239,0.000000000
118,-0.319335938,0.821289062,-10.047851562,-1.181640625,0.914550781,1.310791016,1701767773.397508860,0.000137919,0.000155125,0.000000000,0.000137919,0.000155125,0.000000000,2.000000000,2.296201778,2.295623076,22.584514664,4.321306019,0.000000000,20.402438958,4.510536233,0.000000000
119,-0.183593750,0.915039062,-10.057617188,-1.303466797,0.937500000,1.227050781,1701767773.428248405,0.000137919,0.000155125,0.000000000,0.000137919,0.000155125,0.000000000,2.000000000,2.296876979,2.296264527,22.788499863,4.366391259,0.000000000,20.394600836,4.506511772,0.000000000
120,nan,nan,nan,nan,nan,nan,1701767773.453681707,nan,nan,nan,nan,nan,nan,nan,2.297425314,nan,nan,nan,nan,nan,nan,nan
121,nan,nan,nan,nan,nan,nan,1701767773.457244635,nan,nan,nan,nan,nan,nan,nan,2.297425314,nan,nan,nan,nan,nan,nan,nan
122,nan,nan,nan,nan,nan,nan,1701767773.460402250,nan,nan,nan,nan,nan,nan,nan,2.297425314,nan,nan,nan,nan,nan,nan,nan
123,-0.347656250,0.892578125,-10.005859375,-1.356933594,0.983154297,1.143066406,1701767773.460437059,0.000137919,0.000155125,0.000000000,0.000137919,0.000155125,0.000000000,2.000000000,2.297425314,2.296860869,22.992408630,4.411428269,0.000000000,20.387152607,4.500890307,0.000000000
124,nan,nan,nan,nan,nan,nan,1701767773.462985039,nan,nan,nan,nan,nan,nan,nan,2.297927693,nan,nan,nan,nan,nan,nan,nan
125,-0.327148438,0.826171875,-9.989257812,-1.257812500,0.884033203,1.219482422,1701767773.488390207,0.000137919,0.000155125,0.000000000,0.000137919,0.000155125,0.000000000,2.000000000,2.297927693,2.297410862,23.196237514,4.456415375,0.000000000,20.378624283,4.496530759,0.000000000
126,-0.189453125,0.875976562,-10.031250000,-1.211914062,0.929687500,1.265136719,1701767773.519537449,0.000137919,0.000155125,0.000000000,0.000137919,0.000155125,0.000000000,2.000000000,2.298561342,2.298004999,23.399984078,4.501360705,0.000000000,20.370688403,4.492535286,0.000000000
127,-0.319335938,0.917968750,-10.007812500,-1.410156250,1.066894531,1.250000000,1701767773.548282146,0.000137919,0.000155125,0.000000000,0.000137919,0.000155125,0.000000000,2.000000000,2.299191697,2.298620409,23.603654754,4.546259666,0.000000000,20.363446811,4.487257015,0.000000000
128,nan,nan,nan,nan,nan,nan,1701767773.550918579,nan,nan,nan,nan,nan,nan,nan,2.299776495,nan,nan,nan,nan,nan,nan,nan
