No, Ln, Lp, LnC, PP, Nanchor, RxIDUWB1, RxIDUWB2, RxIDUWB3, RxIDUWB4, RxIDUWB5, RxIDUWB6, RxDistUWB1, RxDistUWB2, RxDistUWB3, RxDistUWB4, RxDistUWB5, RxDistUWB6, s_time, tag_pos_b1, tag_pos_b2, tag_pos_b3, tag_pos_b4, tag_pos_b5, tag_pos_b6, tag_pos_b7, tag_pos_b8, xain1, xain2, xain3, xain4, xain5, xain6, yain1, yain2, yain3, yain4, yain5, yain6, TagPos1, TagPos2, TagPos3, TagPos4, TagPos5, TagPos6, TagPos7, TagPos8, -kf_psi
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767771.821211815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000
2,6.000000000,4.000000000,4.000000000,1.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.776392846,17.703262411,18.153677313,24.157731682,0.000000000,0.000000000,1701767771.850919724,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,-0.525000000,0.905000000,0.525000000,0.905000000,-0.525000000,-0.105000000,0.525000000,-0.105000000,0.000000000
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767771.851493120,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000
4,6.000000000,4.000000000,4.000000000,2.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,5.768838705,17.222795940,19.094480878,24.938115406,0.000000000,0.000000000,1701767771.857560396,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,-0.525000000,0.905000000,0.525000000,0.905000000,-0.525000000,-0.105000000,0.525000000,-0.105000000,0.000000000
5,6.000000000,4.000000000,4.000000000,4.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,7.168765584,16.812376394,18.383881527,23.287273348,0.000000000,0.000000000,1701767771.861206293,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,-0.525000000,0.905000000,0.525000000,0.905000000,-0.525000000,-0.105000000,0.525000000,-0.105000000,0.000000000
6,6.000000000,4.000000000,4.000000000,3.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.393801686,16.391924841,19.314657646,24.317812402,0.000000000,0.000000000,1701767771.863025665,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,-0.525000000,0.905000000,0.525000000,0.905000000,-0.525000000,-0.105000000,0.525000000,-0.105000000,0.000000000
7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767771.883652449,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767771.912592173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767771.943165302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000
10,6.000000000,4.000000000,4.000000000,1.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.766328399,17.693252951,18.133659311,24.157731682,0.000000000,0.000000000,1701767771.950918913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,-0.525000000,0.905000000,0.525000000,0.905000000,-0.525000000,-0.105000000,0.525000000,-0.105000000,0.000000000
11,6.000000000,4.000000000,4.000000000,4.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,7.219051184,16.802365905,18.423916522,23.287273348,0.000000000,0.000000000,1701767771.956876516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,-0.525000000,0.905000000,0.525000000,0.905000000,-0.525000000,-0.105000000,0.525000000,-0.105000000,0.000000000
12,6.000000000,4.000000000,4.000000000,2.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,5.768838705,17.292865581,19.094480878,24.998143931,0.000000000,0.000000000,1701767771.957729340,23.417875291,5.038370965,22.723186554,4.251028881,22.660527191,5.706595370,21.965838454,4.919253286,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.414875893,5.041017398,22.720187155,4.253675314,22.657527793,5.709241803,21.962839055,4.921899719,2.293757923
13,6.000000000,4.000000000,4.000000000,3.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.333364035,16.391924841,19.394720931,24.407857341,0.000000000,0.000000000,1701767771.963037729,23.417875291,5.038370965,22.723186554,4.251028881,22.660527191,5.706595370,21.965838454,4.919253286,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.414875893,5.041017398,22.720187155,4.253675314,22.657527793,5.709241803,21.962839055,4.921899719,2.293757923
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767771.972950220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.002580166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.034558535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
17,6.000000000,4.000000000,4.000000000,1.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.766328399,17.663224507,18.163686300,24.277792321,0.000000000,0.000000000,1701767772.052369595,23.417875291,5.038370965,22.723186554,4.251028881,22.660527191,5.706595370,21.965838454,4.919253286,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.414875893,-0.205084489,22.720187155,-0.992426573,22.657527793,0.463139916,21.962839055,-0.324202168,2.293757923
18,6.000000000,4.000000000,4.000000000,4.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,7.178823023,16.822386870,18.463951365,23.367316919,0.000000000,0.000000000,1701767772.055748463,23.417875291,5.038370965,22.723186554,4.251028881,22.660527191,5.706595370,21.965838454,4.919253286,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.414875893,5.041017398,22.720187155,4.253675314,22.657527793,5.709241803,21.962839055,4.921899719,2.293757923
19,6.000000000,4.000000000,4.000000000,2.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,5.819278306,17.312885375,19.054448300,24.878086743,0.000000000,0.000000000,1701767772.058342934,23.272024983,5.234459186,23.342565040,4.186831342,22.264306770,5.166606369,22.334846828,4.118978525,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.426306881,4.444493240,22.731618143,3.657151155,22.668958781,5.112717644,21.974270043,4.325375560,2.293757923
20,6.000000000,4.000000000,4.000000000,3.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.413945743,16.431968841,19.404728805,24.357832416,0.000000000,0.000000000,1701767772.062810898,23.272024983,5.234459186,23.342565040,4.186831342,22.264306770,5.166606369,22.334846828,4.118978525,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.426306881,4.444493240,22.731618143,3.657151155,22.668958781,5.112717644,21.974270043,4.325375560,2.293757923
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.063827276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.093604803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.123424768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
24,6.000000000,4.000000000,4.000000000,1.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.736133906,17.663224507,18.153677313,24.237772175,0.000000000,0.000000000,1701767772.151166201,23.272024983,5.234459186,23.342565040,4.186831342,22.264306770,5.166606369,22.334846828,4.118978525,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.414875893,-0.205084489,22.720187155,-0.992426573,22.657527793,0.463139916,21.962839055,-0.324202168,2.293757923
25,6.000000000,4.000000000,4.000000000,4.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,7.128534211,16.782344890,18.413907787,23.337300615,0.000000000,0.000000000,1701767772.154073954,23.272024983,5.234459186,23.342565040,4.186831342,22.264306770,5.166606369,22.334846828,4.118978525,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.426306881,4.444493240,22.731618143,3.657151155,22.668958781,5.112717644,21.974270043,4.325375560,2.293757923
26,6.000000000,4.000000000,4.000000000,2.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,5.758749864,17.292865581,19.094480878,24.898096313,0.000000000,0.000000000,1701767772.157780409,23.452000024,5.222095072,23.097836646,4.233627418,22.501188281,5.562766511,22.147024904,4.574298858,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.445146027,4.829381052,22.750457289,4.042038967,22.687797927,5.497605457,21.993109189,4.710263372,2.293757923
27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.158796072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
28,6.000000000,4.000000000,4.000000000,3.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.353510840,16.401935861,19.344681440,24.217762077,0.000000000,0.000000000,1701767772.163058758,23.452000024,5.222095072,23.097836646,4.233627418,22.501188281,5.562766511,22.147024904,4.574298858,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.414875893,-0.205084489,22.720187155,-0.992426573,22.657527793,0.463139916,21.962839055,-0.324202168,2.293757923
29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.184606314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.214274406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1701767772.243385077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.293757923
32,6.000000000,4.000000000,4.000000000,1.000000000,4.000000000,1.000000000,2.000000000,3.000000000,4.000000000,0.000000000,0.000000000,6.695871863,17.683243481,18.063595988,24.197751962,0.000000000,0.000000000,1701767772.251369953,23.452000024,5.222095072,23.097836646,4.233627418,22.501188281,5.562766511,22.147024904,4.574298858,26.250000000,6.450000000,26.250000000,6.800000000,51414458179838282228960608799594483339957101660125245611698511599274647174516792279903914143373491168907028568754298239646406179299286203141188291573286270463482589269435128272125952.000000000,0.000000000,-0.900000000,-0.900000000,23.350000000,23.350000000,0.000000000,0.000000000,23.414875893,-0.205084489,22.720187155,-0.992426573,22.657527793,0.463139916,21.962839055,-0.324202168,2.293757923
